Political_ID,Name_Political,Date_Political,Headline_Political,Description_Political
569,government+policy,"Fri, Jul 3, 2015, 10:44",Political uncertainty threatens Ireland’s recovery," If the ECB succeeds with its endeavours and so the recovery continues to gain pace, then bond yields should rise a great deal   
            "
570,government+policy,"Tue, Jun 30, 2015, 01:45","John FitzGerald: The bigger the population, the greater the housing need","   Mining and  tourism present opportunities, but many will resist the ailing economy and 51%   indigenisation law 
            "
571,government+policy,"Tue, Jun 30, 2015, 01:00",Katainen  comes out fighting during ‘investor roadshow’  ," London Briefing: Bank of England quarterly inflation report follows strong industrial output figures   
            "
572,government+policy,"Thu, Jun 18, 2015, 14:47",China's factory activity shrinks for third month," Most economists do not expect the BoE to raise interest rates   
            "
573,government+policy,"Wed, Jun 17, 2015, 18:15",Is the bull market’s bellow softening?," Spike in corporation tax revenue fails to offset disappointing figures for VAT and Dirt tax   
            "
574,government+policy,"Wed, Jun 10, 2015, 01:00","There are barriers, but investing in Zimbabwe could pay off long term"," Figures add to concerns of economy slowing to post global crisis low   
            "
575,government+policy,"Wed, Jun 10, 2015, 01:00",Mark Carney expected to warn markets on interest rate rise timing," Coalition strategy secures approval but concerns expressed over future growth    
            "
576,government+policy,"Tue, Jun 9, 2015, 01:25",Bank of England keeps rates steady before inflation update," Athens reconfigures its negotiation team as talks with creditor countries restart    
            "
577,government+policy,"Fri, Jun 5, 2015, 18:42",April tax take below target but 2015 still ahead of schedule," The number of Americans without health insurance has fallen by about 15 million   
            "
578,government+policy,"Fri, Jun 5, 2015, 12:35",China data shows biggest drop in factory activity in a year," Tax receipts will beat targets by €2bn, pointing to ‘leeway’ for focused budget giveaways   
            "
579,government+policy,"Thu, Jun 4, 2015, 01:00",IMF sounds warning note over economic recovery,"   Spectacular growth in commercial property is sparking bubble fears and posing a threat to FDI  
            "
580,government+policy,"Wed, Jun 3, 2015, 14:58",Optimism is growing  for a deal with Greece," Gross domestic product grew an annual 7 per cent in the first quarter   
            "
581,government+policy,"Wed, Jun 3, 2015, 08:24",Obamacare proves to be in rude health despite critics’ predictions," Major reform of tax system would require a strong government   
            "
582,government+policy,"Tue, May 26, 2015, 01:45","Irish economy in ‘sweet spot’, says Goodbody"," Smaller trade surplus of $3.1 bn recorded last month   
            "
583,government+policy,"Fri, May 22, 2015, 02:00",Lack of space and explosive rise in office rents could lead to big losses ," Fresh concerns over side effects of ECB bond-buying programme   
            "
584,government+policy,"Thu, May 21, 2015, 07:56",China growth slows to 6 year low as stimulus fails to find traction," It is not just Greece we have to worry about  – the UK election is likely to lead to a brand new political landscape   
            "
585,government+policy,"Wed, May 20, 2015, 12:35",Unpopularity of job-friendly taxes makes for policy quandary," Revenue exceeds target for first quarter by €545m, sparking further calls for tax cuts    
            "
586,government+policy,"Mon, May 18, 2015, 02:00",China’s March exports shrink 15%  in surprise fall," Europe wouldn’t like it and Moscow can’t really afford it, but Athens is increasingly desperate    
            "
587,government+policy,"Wed, May 13, 2015, 01:00",ECB bond-buying   sees German 10-year yields heading below zero," Euro zone officials reject request for more loans before critical reforms in place   
            "
588,government+policy,"Mon, May 11, 2015, 12:28",Complacency is the enemy as we nurture our recovery ," Economic recovery continuing, bank says, but cautions against fanning of cyclical pressures   
            "
589,government+policy,"Tue, May 5, 2015, 20:24",Tax returns confirm growth ahead of expectations," Ireland may be able to recover about half of the very large sum needed to recapitalise the banks    
            "
590,government+policy,"Mon, May 4, 2015, 13:09",Greece looks to Putin as standoff in EU puts repayment in doubt," Poor reading adds to signs economy has lost momentum despite two interest rate cuts     
            "
591,government+policy,"Sat, May 2, 2015, 01:00","We’ll run out of cash by April 9th, Greece tells creditors "," End of annual parliament in China prompts reform calls   
            "
592,government+policy,"Fri, May 1, 2015, 01:00",Central Bank warns Government over fiscal stance,"   Last year’s inconclusive budget  stymies business as  emphasis in Australia shifts from ‘mining to dining’ 
            "
593,government+policy,"Tue, Apr 28, 2015, 01:00",John FitzGerald: Time to build on our economic turnaround ," Minister believes Ireland is not beginning a new property boom   
            "
594,government+policy,"Mon, Apr 20, 2015, 01:00",Chinese manufacturing activity unexpectedly hits 11-month low," Those betting on inflation jumps and a bond-market rout will be disappointed   
            "
595,government+policy,"Fri, Apr 17, 2015, 02:00",St Patrick’s Day and China’s NPC offer insights into Ireland’s relationship with Asia," Martin Wolf: Government  making sensible  reforms   
            "
596,government+policy,"Wed, Apr 15, 2015, 07:24",Australian economy enters troubled waters," Euro falls below 71 pence for  first time since December 2007 to trade at 70.95 pence   
            "
597,government+policy,"Tue, Apr 14, 2015, 01:45",French conservatives say they have a lot to learn from Ireland’s experience," Countries that prioritise education see the benefits decades later   
            "
598,government+policy,"Mon, Apr 13, 2015, 07:17",Martin Wolf: ultra-low interest rates are not a plot by central bankers," ‘Brexit’ would raise questions over the sustainability of the European system itself   
            "
599,government+policy,"Mon, Apr 13, 2015, 01:00",Improving economy makes India a rising force," European Central Bank revises growth forecast upwards   
            "
600,government+policy,"Mon, Apr 6, 2015, 01:00",Sterling reaches seven-year high against euro ," Clamour to relax its stringent fiscal stance will increase   
            "
601,government+policy,"Fri, Apr 3, 2015, 01:00",How our education system affects the economy of the future ," Reunification came at a significant cost to the German economy in the short term   
            "
602,government+policy,"Fri, Apr 3, 2015, 01:00",Ireland cannot avoid fallout from any British exit from the EU ," Low wages are a political choice and we can and should choose differently   
            "
603,government+policy,"Thu, Apr 2, 2015, 14:57",ECB to start bond-buying programme next week," The mantra of ‘political stability’ will be at the centre of the coming election campaign   
            "
604,government+policy,"Wed, Apr 1, 2015, 11:07",Returns augurs well for Government prior to ‘spring statement’," Carney says BoE aiming to bring inflation back to 2% target   
            "
605,government+policy,"Tue, Mar 31, 2015, 01:40",The pathway to Germany’s low unemployment," Letter followed announcement of initiative  to aid first-time buyers with their   deposits   
            "
606,government+policy,"Tue, Mar 24, 2015, 08:09",Wal-Mart policy of raising wages should inspire others,"   Focus on fiscal probity, political stability and banking recovery against backdrop of Greek drama  
            "
607,government+policy,"Tue, Mar 24, 2015, 00:01",Stability held out as pledge to appease political economy," Some central bankers argued that QE should be more limited   
            "
608,government+policy,"Fri, Mar 20, 2015, 01:32",BoE chief Carney  warns of possible impact of Grexit ,"  Varoufakis expects a deal with Europe on  bailout to come together in next 48 hours    
            "
609,government+policy,"Fri, Mar 20, 2015, 01:30",Honohan wrote to Noonan to complain about mortgage insurance plan," January marked 11th straight month of job gains above 200,000, the longest streak since 1994   
            "
610,government+policy,"Wed, Mar 18, 2015, 01:00",View from the outside: how international bond market investors see Ireland’s recovery ," Analysis: The next few weeks will see if troika and EU are willing to bend in the name of European solidarity   
            "
611,government+policy,"Wed, Mar 11, 2015, 01:00",ECB minutes show official warned of risks of delaying money printing," Most observers believe Greece could find the €4.3bn it needs to pay the IMF next month    
            "
612,government+policy,"Tue, Mar 10, 2015, 21:25",Greece rejects eurogroup proposal as ‘totally unacceptable’ ," Foreign direct investment is vital to jobs but the real source of growth is indigenous    
            "
613,government+policy,"Tue, Mar 10, 2015, 01:45","Strong US job, wage gains open door to mid-year rate hike"," Ratings agency says risks arising from banking sector have reduced   
            "
614,government+policy,"Fri, Mar 6, 2015, 05:00",Greece races against the clock for debt solution," Analysts expecting possible additional cut to 2% at next policy meeting   
            "
615,government+policy,"Thu, Mar 5, 2015, 13:56",Martin Wolf: a deal to bring modernity to Greece," Latest instalment of Action Plan for Jobs unveiled in Dublin   
            "
616,government+policy,"Tue, Mar 3, 2015, 17:22",Home-grown business is driving the recovery more strongly than multinationals ," Bank of England governor says Irish economy has fixed the core of its banking   
            "
617,government+policy,"Tue, Mar 3, 2015, 01:45",Irish recovery on-track but growth to slow down - Moody’s," Central bank says  US economy is expanding at a ‘solid’ pace    
            "
618,government+policy,"Tue, Mar 3, 2015, 01:00",Australia central bank cuts rates to historic low of 2.25%," Li Keqiang tries to soothe fears of a hard landing in world’s second-biggest economy   
            "
619,government+policy,"Fri, Feb 27, 2015, 01:00",Government announces new measures to boost job creation," European Union leaders and policymakers respond to  Syriza’s election victory    
            "
620,government+policy,"Tue, Feb 24, 2015, 13:46",Mark Carney: Ireland has made tremendous progress," Jeroen Dijsselbloem says changes possible with the Athens adjustment programme   
            "
621,government+policy,"Fri, Feb 20, 2015, 16:51",Federal Reserve remains patient over rates hike," Might of ECB has unleashed Quantitative Easing  to fight  deflationary spiral   
            "
622,government+policy,"Fri, Feb 20, 2015, 01:55",Don’t worry about slowing GDP growth says China’s premier ," ECB unveiled landmark €60bn-a-month plan to spark euro zone recovery
            "
623,government+policy,"Thu, Feb 19, 2015, 13:12","EU open to Greek debt extension, not forgiveness"," Beijing misses growth target as property prices cool  and companies  struggle under  debt burdens   
            "
624,government+policy,"Mon, Feb 16, 2015, 18:19",Eurogroup chief hints at ‘wriggle room ’ over Greek debt," Address by Governor Patrick Honohan to the IMF-CEPR-Central Bank of Ireland Conference, Dublin Castle   
            "
625,government+policy,"Fri, Feb 6, 2015, 14:18",Analysis: Draghi takes action to spark euro zone back to life," Pressure on ECB president to press QE button at policy meeting on Thursday   
            "
626,government+policy,"Fri, Feb 6, 2015, 01:45",Markets rally after ECB chief announces bond-buying," ECB bows to German pressure to ensure its taxpayers are not liable for any losses incurred on other countries’ debt   
            "
627,government+policy,"Wed, Feb 4, 2015, 01:00",China’s economy grows at  slowest pace in 24 years ," ECB official advises Ireland to keep finances on prudent track   
            "
628,government+policy,"Tue, Feb 3, 2015, 12:00",Honohan address: ‘some lessons learnt from the EU-IMF Programme’," ‘Ireland has potential to be the fastest-growing euro zone country in 2015’   
            "
629,government+policy,"Tue, Feb 3, 2015, 09:18",Mario Draghi’s quantitative tease shows signs of finally ending," Executive  discusses budgets, bondholders, Trichet letters and banking inquiries   
            "
630,government+policy,"Tue, Feb 3, 2015, 07:07",ECB set to unveil on Thursday policy of mass bond-buying," European Court of Justice deems scheme to fall within EU treaty ‘monetary policy’   
            "
631,government+policy,"Thu, Jan 29, 2015, 09:55",Transcript of interview with Benoît Cœuré," Opinion has significant implications for ECB ahead of introduction of Quantitative easing (QE)   
            "
632,government+policy,"Thu, Jan 29, 2015, 06:30","State must keep finances prudent, says  ECB official  "," To keep pace with competing jurisdictions Ireland must increase its capital spending Council says   
            "
633,government+policy,"Thu, Jan 29, 2015, 01:00",Benoit Coeuré interview: ECB advises Ireland to be ‘as conservative as possible’," Analysts believe reform needs to accompany spending to boost world’s second biggest economy   
            "
634,government+policy,"Tue, Jan 27, 2015, 00:01","OMT ‘in principle’ compatible with EU law, says European court"," New data suggest world’s second-largest economy still faces formidable headwinds    
            "
635,government+policy,"Mon, Jan 26, 2015, 10:57",Bond-buying programme compatible with EU law says ECJ," European currency now  at lowest level since March 2006 as it extends its loss over the past year to 12 per cent   
            "
636,government+policy,"Fri, Jan 23, 2015, 11:19",Competitiveness Council calls for investment in infrastructure," Prime Minister Shinzo Abe has been encouraging Japanese women to have it all 
            "
637,government+policy,"Fri, Jan 23, 2015, 01:00",China accelerates €950 billion worth of infrastructure projects to shore up growth," ECB   worries that due to crisis people are adapting spending and prolonging weak growth    
            "
638,government+policy,"Thu, Jan 22, 2015, 13:47",China’s inflation    near five-year low as property slump persists," Lithuanians still underwhelmed about joining the euro on January 1st despite its many benefits   
            "
639,government+policy,"Tue, Jan 20, 2015, 08:59",Euro weakens to near nine-year low," Core consumer price index (CPI) increased 2.7% last month   
            "
640,government+policy,"Mon, Jan 19, 2015, 17:34",Japan turns to supermums to rescue economy," New figures show prices nationally are still continuing to rise   
            "
641,government+policy,"Mon, Jan 19, 2015, 01:10",European Central Bank may need to do more to boost economy," Yuletide emerging as a part of the retail calendar   
            "
642,government+policy,"Sat, Jan 17, 2015, 01:00",‘We are joining the losing club’," Russia struggles to come to terms with perfect storm of sanctions and falling  oil prices   
            "
643,government+policy,"Fri, Jan 16, 2015, 06:00",Japan inflation slows and output slips in November," Government should be congratulated for its courage and luck on bailout exit strategy   
            "
644,government+policy,"Fri, Jan 16, 2015, 06:00",Dublin house prices fall ahead of new lending restrictions," Borrowing costs continue to fall despite the  surge in support for anti-establishment forces   
            "
645,government+policy,"Fri, Jan 16, 2015, 06:00",Economic uncertainties ahead as China embraces Christmas," ‘Big Four’ accounting firms arranged tax deals for companies   
            "
646,government+policy,"Thu, Jan 15, 2015, 01:00",Failure to diversify and Ukraine belligerence now haunt Putin," Things finally looking better for American workers but this improvement comes after years of suffering   
            "
647,government+policy,"Wed, Jan 14, 2015, 09:15",Timing an important aspect when considering growth ," Agency expects economy to grow by more than foreseen   
            "
648,government+policy,"Tue, Jan 13, 2015, 12:06",Simmering political drama leaves markets unperturbed," Calls for Government wean renewable energy sector off State support 
            "
649,government+policy,"Tue, Jan 13, 2015, 00:01",New leak reveals Luxembourg tax deals for Disney and  Koch brothers ," The rise in population means  we need to increase the supply of homes to rent and to buy   
            "
650,government+policy,"Fri, Jan 9, 2015, 08:09",Paul Krugman: slow recovery stems from catatonic policy of self-serving US conservative politicians ," Warnings from various quarters  indicate  new fiscal plan is not quite risk-free   
            "
651,government+policy,"Mon, Jan 5, 2015, 07:58",Standard & Poor’s upgrades Ireland’s debt rating," Bank wants to increase size of its balance sheet to round €1 tn higher than it is currently   
            "
652,government+policy,"Fri, Jan 2, 2015, 08:57",National Competitiveness Council in wind power warning," Automated submissions against the proposed free trade deal have delayed progress   
            "
653,government+policy,"Thu, Jan 1, 2015, 17:58",Housing shortages and rising rents   result of  failure to plan for growing population," Paris-based think-tank says Irish economy ‘very vulnerable’ to external shocks   
            "
654,government+policy,"Wed, Dec 31, 2014, 08:33",Government’s capacity for   corrective reforms has died," Fiscal strategy is important in order to guide decisions of political parties and wider public   
            "
655,government+policy,"Fri, Dec 26, 2014, 12:07","ECB may decide on  bond buys shortly, says Constancio"," Rousseff made great political capital by attacking the elite but may need to reach out to them to overcome recession   
            "
656,government+policy,"Tue, Dec 23, 2014, 11:51",Online protest delays EU plan to resolve US trade row," Despite Abenomics Japan is now in its fourth recession since 2008    
            "
657,government+policy,"Tue, Dec 23, 2014, 00:01",OECD warns Ireland over ‘premature’ shift from austerity," Coalition faces tough talks on water charge fiasco, property policy and banks among other issues   
            "
658,government+policy,"Fri, Dec 19, 2014, 01:00",Getting Ireland’s budget balance right," Mario Draghi defends 2010 threat to pull emergency Irish banking funding    
            "
659,government+policy,"Mon, Dec 15, 2014, 01:00",Brazilian president forced to backtrack as fiscal pressure grows ever greater," EU-IMF team return to Dublin next week for second post-bailout inspection of year   
            "
660,government+policy,"Fri, Dec 12, 2014, 01:08",Japan’s efforts to turn tide of population loss not paying off," From moment of  bank guarantee,  Ireland’s economic fate was tied to   troika   
            "
661,government+policy,"Tue, Dec 9, 2014, 21:00",Troika returns to address unfinished business," Full text: November 2010 letter threatened to cut off emergency funding from Irish banking system unless Ireland applied for bailout   
            "
662,government+policy,"Tue, Dec 9, 2014, 01:00","ECB will not formally participate in banking inquiry, says Draghi"," Dollar jumps as world’s third-largest economy acts days after  Fed ends  stimulus   
            "
663,government+policy,"Fri, Dec 5, 2014, 17:37",Troika to raise property market policies and  water debacle," Guage heading for largest weekly advance in 18 months    
            "
664,government+policy,"Wed, Dec 3, 2014, 01:00",Jean-Claude Trichet and the Irish bailout: A timeline," Economy grew at its slowest pace since the global financial crisis in the September quarter    
            "
665,government+policy,"Tue, Dec 2, 2014, 02:00",Jean Claude Trichet letter to Brian Lenihan," Despite pressure on  shares and weak inflation figures, political leaders remain firm   
            "
666,government+policy,"Fri, Nov 28, 2014, 01:00",Bank of Japan stuns markets with  move to expand quantitative easing," ‘The road we have travelled to get to this point has been very difficult and the Irish people have made major sacrifices’   
            "
667,government+policy,"Wed, Nov 26, 2014, 15:01",Asian market responds positively to Japanese stimulus , with a pro-rata increase on other tobacco products. This will bring the price of cigarettes in the Most Popular Price Category to €10. In addition
668,government+policy,"Wed, Nov 26, 2014, 11:54",World Bank urges China to cut economic growth target , our public finances would not now be under control and our economy would not be growing. I believe this Budget is the right approach for Ireland at this point in our recovery.
669,government+policy,"Tue, Nov 25, 2014, 11:03","Merkel, Draghi refuse to panic over market wobbles", and creates job opportunities. A road that delivers high quality public services. A road on which our citizens have certainty about their incomes and can plan for the future without fear of another bust. A new road to a new Ireland.
670,government+policy,"Tue, Nov 25, 2014, 02:00",Full text: Michael Noonan’s Budget 2015 speech  ," Hard hit by recession, local people are hoping for a lift   
            "
671,government+policy,"Mon, Nov 24, 2014, 01:45", the price of 20 cigarettes will increase by 40 cents," Investors are hoping the worsening economic climate will force more ECB stimulus measures    
            "
672,government+policy,"Fri, Nov 21, 2014, 01:25", assist local business and retailers and drive growth right across the country.," Clash centres on how much more stimulus the ailing euro-area economy needs from the European Central Bank   
            "
673,government+policy,"Tue, Nov 18, 2014, 14:24", have travelled a long road to get to this point. Managing an economy is not just about numbers. Without the support and resilience of the Irish people," The services purchasing managers’ index (PMI) back to 53.5 from a 17-month high of 54.1 in August   
            "
674,government+policy,"Mon, Nov 17, 2014, 20:26", take the road “less travelled by”? A road whose milestones are prudence and caution. A road that delivers stable economic growth. A road that encourages investment. A road that rewards work," Department representatives to set out projections to Oireachtas committee   
            "
675,government+policy,"Thu, Nov 13, 2014, 01:05",Our Budget 2015 town: What Thurles thinks," Opinion: Increasing investment in key infrastructure projects (such as social housing) and in education would  strengthen the country’s balance sheet   
            "
676,government+policy,"Thu, Nov 6, 2014, 14:41",Bond yields hold near record lows after S&P downgrades," Bank of England asks for more powers to rein in home loans, buy-to-let borrowing   
            "
677,government+policy,"Thu, Nov 6, 2014, 03:00",Draghi-Weidmann fight intensifies as ECB debates action," Eurostat says  consumer prices  0.3 per cent in September, slowing from 0.4 per cent    
            "
678,government+policy,"Sat, Nov 1, 2014, 01:00",China services sector growth weakens slightly," Government figures have been ‘managing expectations’ on  the Budget . What’s likely to happen? The first in a three-part series   
            "
679,government+policy,"Fri, Oct 31, 2014, 12:32",Advisory body to deliver verdict on budget forecasts," Opinion: safest course in budget would be to implement final part of Troika plan    
            "
680,government+policy,"Wed, Oct 29, 2014, 08:27",Budget 2015: How much leeway is there for tax cuts or spending increases?," Overseas businesses  push back against what they see as unfair antitrust enforcement by Beijing   
            "
681,government+policy,"Thu, Oct 16, 2014, 15:08",BoE backs flagship government mortgage guarantee scheme," Opinion: too many influential economists performed poorly after financial crisis    
            "
682,government+policy,"Tue, Oct 14, 2014, 15:21",Euro zone inflation numbers pile more pressure on ECB," The European project is a failed marriage, and only a radical reappraisal of the union – political and, above all, fiscal – can prevent a messy divorce    
            "
688,government+policy,"Tue, Oct 14, 2014, 02:16",Key economic posts in Commission given to France and Britain," Almost six years after the economic crisis began, Europe cannot afford to face into a prolonged period of stagnation    
            "
689,government+policy,"Mon, Oct 13, 2014, 12:19",Is China’s property bubble about to burst?," Sterling fell slightly after the bank’s decision, hitting a new seven-month low against the dollar   
            "
690,government+policy,"Mon, Oct 13, 2014, 08:41",Opportunity for Republic in low interest rates," Central Bank says world’s third-biggest economy 'continues to recover moderately as a trend'   
            "
691,government+policy,"Wed, Oct 8, 2014, 10:32",Draghi makes his move," World Economic Forum’s latest survey paints mixed picture of Ireland’s economy   
            "
692,government+policy,"Tue, Oct 7, 2014, 01:00",US employment growth slows sharply in August," Opinion: It has important implications for the  budget in October    
            "
693,government+policy,"Sat, Oct 4, 2014, 00:01",Deflation threatens to derail Euro recovery," Business Opinion: US-style quantitative easing is not the answer to Europe’s problems   
            "
694,government+policy,"Thu, Oct 2, 2014, 15:18",Bank of England holds rates despite robust recovery," Despite weak signs in the economy, the BOJ is optimistic that a tightening job market will lead to higher wages   
            "
695,government+policy,"Tue, Sep 30, 2014, 13:23",Kuroda upbeat on economy as BOJ leaves policy on hold," PMI surveys show manufacturing and services industry growth slowing despite price cutting   
            "
696,government+policy,"Tue, Sep 30, 2014, 01:01",Ireland moves up three places in competitiveness rankings," Two MPC members vote for rate rise breaking three year unanimity    
            "
697,government+policy,"Mon, Sep 22, 2014, 01:00",The euro crisis looks set to enter a critical new phase this autumn," Price growth falls in July as separate report shows UK house-price growth slows to 10.2 per cent 
            "
698,government+policy,"Tue, Sep 16, 2014, 02:00",Could new ECB policy do more harm than good? ," The ECB has signalled that it is safe to bet against the inflation target    
            "
699,government+policy,"Tue, Sep 16, 2014, 01:00",Japan household spending slumps in  month of July," There are many  ways in which dominant businesses can harm us   
            "
700,government+policy,"Sat, Sep 13, 2014, 01:00",Business growth in Europe and China slows," Patchy labour market recovery means variations in income growth between regions    
            "
701,government+policy,"Wed, Sep 10, 2014, 15:41",BOE policymakers break rank over interest rates," Opinion: Government should resist the temptation to try to stimulate consumer spending by bringing the programme of fiscal adjustment to a premature end in the  budget   
            "
702,s I have announced today will cost an estimated €585 million next year and this cost has to be paid for.,"Tue, Sep 9, 2014, 02:00",UK inflation cools to near five-year low ," Think tank says Ireland will be euro area’s fastest-growing economy   
            "
703,So,"Mon, Sep 8, 2014, 01:00",Draghi is running out of legal ways to fix the euro," Government now sees real gross domestic product growth at 1.2 per cent for 2014/2015   
            "
704,I am not raising taxes on alcohol. I am not raising taxes on petrol or diesel. I am not raising motor tax. I am not raising the Vehicle Registration Tax. I am not raising any other taxes because I am able to fund the costs of these reforms and incentives through improved tax revenues arising from economic growth and continued expenditure restraint.,"Sat, Sep 6, 2014, 11:00",Monopolies are no friend of a healthy democracy," Data shows Britain’s  trade deficit with the rest of the world widened unexpectedly   
            "
705,Conclusion,"Fri, Sep 5, 2014, 14:08",Record US wealth gap fuelled by disparities in housing recovery," Growth has returned and it has spread across most sectors   
            "
706,Both the taxation and expenditure sides of this year’s Budget are designed to support and broaden the economic recovery that we are now experiencing. Available resources have been carefully targeted on initiatives that will build consumer confidence,"Fri, Sep 5, 2014, 01:20",The economic recovery is most visible in the labour market," Fed to wait on raising interest rates   
            "
707,We,"Thu, Sep 4, 2014, 13:15","Economy to expand by 3.4% this year, ESRI predicts "," Derek Moran expressed confidence  that market was in for a ‘soft landing’   
            "
708,We have travelled the long road and are now at a very important crossroads. We are now facing a choice: do we return to the past; unwind the progress and structural reforms made and pursue boom and bust policies.,"Thu, Sep 4, 2014, 09:24",Japan government trims economic growth estimate ," Opinion: Thomas Piketty’s proposals could effectively abolish capitalism   
            "
709,Or do we look forward and continue to build for a better future with a new economic model.,"Wed, Sep 3, 2014, 13:48",Bank of England holds steady on rates as policy split looms," Munich-based Ifo think tank’s business climate index drops for second consecutive month   
            "
710,Colleagues will recall that Robert Frost’s poem “The Road Not Taken” starts with “Two roads diverged in a yellow wood”.,"Wed, Sep 3, 2014, 00:01",  Week of good news  for economy-watchers," HSBC’s preliminary PMI for June suggests  Beijing’s measures may be stabilising economy   
            "
711,The road ahead of us diverges and we have a choice to make. Do we take the road frequently trodden by Irish Governments in the past,"Mon, Sep 1, 2014, 01:00",US unemployment rate drops," British central bank mulls measures to tackle overheating housing market   
            "
712,Or do we,"Fri, Aug 29, 2014, 11:35",New finance chief  told official to disregard property crash fears," It’s six months this weekend since we exited the bailout and said goodbye to the troika – until their next visit, anyway. ‘Irish Times’ journalists assess how we’re doing, with a graphical guide by Pamela Duncan  
            "
713,I know the road this Government will take.,"Thu, Aug 21, 2014, 09:38",Taxing capital risks underinvestment in our future," Total fiscal spending by the central and local governments surged nearly 25 per cent in May   
            "
714,"I commend this Budget to the House.""","Wed, Aug 20, 2014, 13:57",German business sentiment dips as concern over Iraq grows," Latest official figures show employment returned to its pre-recession level last month   
            "
715,government+policy,"Tue, Aug 19, 2014, 10:38",China’s manufacturing  expands for the first time in six months," British house prices are rising at their fastest rate since the eve of the financial crisis   
            "
716,government+policy,"Mon, Aug 18, 2014, 01:00",Britain may cap mortgage-income ratio to calm market," Lack of proper euro government bond market is why euro experiment is a mess   
            "
717,government+policy,"Wed, Aug 13, 2014, 01:00",Ireland: an economic snapshot," Opinion: Mexico’s  ‘productivity puzzle’ provides remarkable contrast with other emerging economies   
            "
718,government+policy,"Wed, Aug 13, 2014, 01:00",China  data shows growth steadying but recovery patchy," Market access and regulatory barriers cost EU businesses €21.3 billion   
            "
719,government+policy,"Sat, Aug 9, 2014, 00:01",US recoups jobs lost in recession as economy picks up," Opinion: There’s a need to strengthen public service and beef up job supports and investment in local firms    
            "
720,government+policy,"Thu, Aug 7, 2014, 01:00",IMF tells Britain to rein in riskier mortgages to cool market," Financial Times claims book contains errors that undermine large parts of inequality thesis   
            "
721,government+policy,"Tue, Jul 22, 2014, 07:51",Another missed opportunity in the EU’s monetary mess," Chris Johns says growth has been positive for a year now and momentum is expected to continue, perhaps helped by that ECB easing   
            "
722,government+policy,"Thu, Jul 10, 2014, 13:24",Boldness of Mexican economic strategy offers lesson for India," The recovery in confidence is too fragile, and the revival of growth too feeble    
            "
723,government+policy,"Fri, Jul 4, 2014, 01:00",European firms say ‘Golden Age’  in China is over," Minister says helping first-time buyers to get mortgages will stimulate the construction sector   
            "
724,government+policy,"Fri, Jul 4, 2014, 01:00",How to avoid the mistakes of the  Celtic tiger ," But Britain’s economic recovery is picking up speed and house prices are rising strongly   
            "
725,government+policy,"Thu, Jul 3, 2014, 22:08",‘Rock star’ economist Piketty defends data in best-selling book ," Governments need to use their balance sheets to build productive assets   
            "
726,government+policy,"Fri, Jun 27, 2014, 01:00",Continuing US and British recovery will benefit us," Some challenges remain despite the nation’s remarkable turnaround   
            "
727,government+policy,"Tue, Jun 24, 2014, 10:44",Time for Mario Draghi to open the sluice," Opinion: We now need to build new homes and get banks to fund property development    
            "
728,government+policy,"Mon, Jun 23, 2014, 08:04",Noonan dismisses fears of housing bubble,"   An   OECD meeting this week reflected the developing view that the digital economy can’t be ringfenced for tax purposes 
            "
729,government+policy,"Tue, Jun 17, 2014, 15:30",Bank of England sticks with low rates even as recovery builds," Short-term money market rates rise as excess liquidity falls to below €100m for first time since 2011   
            "
730,government+policy,"Sat, Jun 14, 2014, 01:00",Banks will still veer towards cheap money," Current market conditions attract lots of commentators prepared to spot another period of insanity    
            "
731,government+policy,"Fri, Jun 13, 2014, 07:50",Portugal’s bailout exit would have been unthinkable just six months ago," Strong policy actions needed to turn corner from financial crisis, says organisation   
            "
732,government+policy,"Fri, Jun 6, 2014, 13:52",What’s driving the rapid property price rise?," Accelerated sell-off of long-term bonds would prove costly for State coffers   
            "
733,government+policy,"Fri, Jun 6, 2014, 10:50",Net closing on tax affairs of multinationals," Business group revises upwards consumer spending and economic forecasts 
            "
734,government+policy,"Fri, Jun 6, 2014, 00:59",Cash drop in the euro zone adds to impetus for ECB action," Data provides further evidence the economy is shifting into higher gear after brutally cold winter   
            "
735,government+policy,"Wed, Jun 4, 2014, 01:00",Bubble spotting in bond markets may be a wasteful endeavour,"   Four years after the country became the first in the euro zone to seek an EU-IMF bailout, its economy might just be turning a corner 
            "
736,government+policy,"Tue, Jun 3, 2014, 01:00",IMF warns of impact of low interest rates on recovery," National Competiveness Council issues stark warning about country’s cost base   
            "
737,government+policy,"Thu, May 29, 2014, 01:01",Playing for time in Ireland’s €20 billion ‘game changer’," Positive comments are boost for government, which hopes to return to markets earlier than planned   
            "
738,government+policy,"Mon, May 26, 2014, 10:46","Irish economy ‘on way back’, says Ibec economist"," Economics: Normalisation of US and British economies  points to serious ECB policy errors    
            "
739,government+policy,"Fri, May 16, 2014, 01:00",US maintains solid job growth pace as winter fades," Opinion: Bad debts of SMEs threaten employment, while cuts in number of academics jeopardise third level    
            "
740,government+policy,"Wed, May 14, 2014, 01:01",Greece hopes it can wave goodbye to austerity era," Growth in investment, retail sales and factory output all hit multi-year lows    
            "
741,government+policy,"Wed, May 14, 2014, 01:01",Deteriorating competitiveness 'threatening recovery'," Former US Federal Reserve chairman clings to notion that economic policy can be deduced from a priori axioms    
            "
